Term,Definition
Absolute altitude,The vertical distance of the aircraft above the ground.
Adverse yaw,When the nose of an aircraft turns away from the direction of turn.
Aeronautical Information Manual (AIM),"A publication by the Federal Aviation Administration (FAA) that instructs pilots how to operate correctly in the US National Airspace System. There are separate guides for the USA and Canada. The AIM is the official guide to flight information, Air Traffic Control (ATC) procedures and aviation safety."
Air Traffic Control (ATC),"A service operated by the authorities to ensure the safety of air traffic. Air traffic controllers in a ground-based ATC facility direct aircraft in their area during take-off, landing and while flying in the airspace."
Airfoil,"The shape of a surface such as a wing, blade, turbine or rotor that generates lift from air passing over it."
Altimeter,A cockpit instrument that measures the aircraft’s altitude. The altimeter consists of an aneroid barometer which calculates altitude based on the current air pressure.
Altitude indicator,An instrument that details the relation of the aircraft to the horizon.
Angle of attack,The angle made from the chord line of an airfoil and the direction of the air that strikes it.
Anhedral,The downward angle or inclination of an airplane’s wing in relation to a horizontal cross-section line.
Annual inspection,A nose-to-tail inspection of an aircraft that is required every 12 months.
Autogiro or autogyro,"An aircraft that is often wingless, similar to a helicopter. However, an autogiro has unpowered rotary blades that rotate due to air speed and slipstream to get air powered-lift. Also known as a gyroplane."
Avionics master switch,The switch that controls electrical power to all electronic navigation and communications equipment in the aircraft.
Base leg,A descending flight path that runs in the direction of landing along the runway.
Best lift over drag ratio,"Often referred to as ""L over D max,"" this is the highest value of the ratios of lift to drag for any airfoil."
Blade angle,The angle between the chord of a propeller blade and a plane of rotation.
Bleed air,Compressed hot air that is produced by the operation of the engine. This is then used at high pressure for de-icing and heating the jet.
Camber,The degree of curve in an airfoil.
Cargo,Goods carried on an airplane.
CAVU,"Stands for Ceiling and Visibility Unlimited, which indicates the ideal flying conditions, with a visibility of at least 10 miles and a ceiling of at least 10,000 feet."
Charter,Hiring an airplane. Business and high-profile clients may often charter a private jet.
Chord line,An imaginary line on an airfoil from the leading edge to the trailing edge.
Clearance,Authorization given by air traffic control aimed to prevent collision between aircraft.
Climb,A maneuver that increases the altitude of the aircraft.
Controlled airspace,"A defined area of the sky that is controlled by ATC services. Controllers direct planes through the airspace, plotting the safest and most efficient route for each aircraft. All airplanes flying in controlled airspace must get clearance to enter the zone and be equipped to national regulations. The pilot must have the correct qualifications."
Course deviation indicator,"Also known as ""CDI"", this is the needle on the VOR indicator that shows whether the aircraft is to the right or left of the desired radial."
Crosswind,Wind that blows in a direction not parallel to the course.
Deadstick,"A term for a forced landing, which takes place when the plane loses all propulsive power because the engine and propeller have stopped."
Delta wing,"A triangle-shaped wing that looks similar to the shape of the uppercase Greek letter, delta. This type of wing is often used on fighter planes because of its superb aerodynamics."
Descent,A flight maneuver that causes a downward inclination.
Distress,A condition on the aircraft that signals danger and requires immediate action.
Downwash,"In aeronautics, the term describes air that is deflected downwards by the aircraft wing or a rotor blade on a helicopter, usually when the plane is taking off."
Downwind leg,A flight path that runs parallel to the landing runway in the opposite direction of landing.
Drag,A force on the aircraft as it moves through the air. The force runs parallel and opposite to the airplane's direction.
Emergency overrun,A surface before the take-off area on the runway that is kept clear. This portion is designed to minimize damage to an aircraft if it is unable to stop.
Empennage,"A term for the aircraft’s tail, which is made up of a rudder, a fin and a stabilizer. This is also known as the tail or tail assembly and provides stability for the jet during flight."
Engine,An aircraft engine is a machine that converts energy to power the plane.
Estimated time en route,"Commonly referred to as ""ETE""; the estimated flight time a journey will take from departure to arrival in the destination or checkpoint."
Estimated time of arrival,"Commonly referred to as ""ETA""; the time an aircraft is predicted to arrive in its destination or checkpoint."
Federal Aviation Authority (FAA),A national authority in the United States that regulates all aspects of civil aviation.
Final approach,A flight path that leads towards the landing runway.
Fixed Base Operator (FBO),"A business or organization that operates at an airport. An FBO provides aircraft operating services like maintenance, fueling, flight training, charter services, hangaring and parking."
Flaperon,"A control surface that uses aspects of both flaps and ailerons, such as on the wing, to direct the roll or bank of a plane."
Flaps,Flat surfaces added to the edges of the wing. These change the curve of the wing and allow the pilot to adjust lift and drag so the plane can safely fly at a lower speed.
Flight deck,"Another name for the cockpit, which is located at the front of the aircraft and holds the pilot and instrument panels."
Flight plan,"Information filed with the relevant ATC authority about a flight, including its duration, route and destination."
Fuselage,The central body portion of an aircraft.
Ground control,The personnel and equipment in a control tower who are responsible for the safe and efficient movement of aircraft on the ground.
Groundspeed,The horizontal speed that an aircraft travels over the ground.
Horizontal stabilizer,"A small lifting surface on the tail of an aircraft, also known as the tailplane, that provides stability."
Instrument Flight Rules (IFR),The rules that govern flying under instrument meteorological conditions. Pilots follow these rules and create IFR flight plans for various weather conditions.
Instrument landing system (ILS),"A radar-based system which allows ILS-equipped aircraft to find a runway and land safely, even when clouds are as low as 200 feet."
Joystick,"Also known as the control column, the joystick is the main device in the cockpit for controlling the aircraft. The joystick is usually floor- or roof-mounted."
Knot,A measurement or unit of speed that equals one nautical mile and about 1.15 statute miles.
Landing gear,"The undercarriage of an aircraft. This structure supports the plane when it’s not flying and is used during taxi, lift-off and landing."
Level flight,A flight maneuver that causes the aircraft to stay at the same altitude.
Lift,The aerodynamic force acting on an airplane that runs perpendicular to the relative wind. Lift causes the upward force that allows the aircraft to oppose gravity.
Lighter-than-air craft (LTA craft),"Refers to things like blimps, dirigibles and free balloons that float."
Longitudinal axis,"A direction of orientation; an imaginary line that passes horizontally through the center of gravity, from the head to tail of an aircraft."
Magnetic compass,A liquid-type compass and essential navigation instrument that displays an aircraft’s orientation in relation to the magnetic poles.
Maneuvering speed,A speed calculated by the aircraft manufacturer that keeps the user from exceeding the maximum load factor for the airplane.
Master switch,The switch that controls power to all electrical circuits in an aircraft.
Mean sea level (MSL),The average height of the surface of the sea. MSL is used in aviation to measure altitude.
